# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
0               	((0.00000000e+00 0.00000000e+00 0.00000000e+00) (3.41626510e-07 -1.65805138e-06 7.96169772e-04)) ((0.00000000e+00 0.00000000e+00 0.00000000e+00) (6.95915711e-07 -2.19894065e-07 -2.82856974e-06))
1               	((-4.29896823e-04 -8.87293060e-04 5.75432155e-02) (-3.09710395e-07 -3.67609776e-06 7.69847491e-04)) ((5.43724824e-05 -4.42826313e-05 -2.28627200e-03) (7.13231444e-07 -3.62743959e-07 -8.95677231e-07))
2               	((-1.08858849e-03 1.26252238e-03 1.86327189e-01) (6.87024010e-07 -1.87568735e-07 7.64089320e-04)) ((1.12778687e-04 2.24155131e-05 -8.12245991e-03) (6.21085486e-07 -3.14090339e-07 6.15446774e-07))
3               	((-4.47768411e-04 2.62775549e-03 2.19605847e-01) (2.59075981e-06 -9.60571404e-07 8.57133022e-04)) ((1.30742216e-04 1.16441125e-04 -9.63176526e-03) (7.19842154e-07 -2.42975910e-07 4.06938324e-06))
4               	((2.99599278e-03 2.96034876e-03 2.00359251e-01) (3.74997489e-06 -7.34432200e-06 9.88386473e-04)) ((1.63591968e-04 2.23208505e-04 -8.75427166e-03) (9.08784222e-07 -1.62052047e-07 8.60821136e-06))
5               	((8.11801863e-03 1.80350294e-03 1.64798166e-01) (4.20312112e-06 -1.79192329e-05 1.10503210e-03)) ((2.26151728e-04 2.97439756e-04 -7.01988081e-03) (1.04438480e-06 -1.32267872e-07 1.27936789e-05))
6               	((1.26085966e-02 -1.18682187e-03 1.31316090e-01) (3.69830199e-06 -2.94174418e-05 1.20923159e-03)) ((3.03840820e-04 3.06870696e-04 -5.25581559e-03) (1.07980797e-06 -9.76260000e-08 1.54329322e-05))
7               	((1.50008709e-02 -4.93594023e-03 1.07009537e-01) (1.35896083e-06 -3.68290685e-05 1.30438604e-03)) ((3.65437829e-04 2.65640056e-04 -3.85664433e-03) (1.08027581e-06 -2.81494790e-08 1.64593291e-05))
8               	((1.48577270e-02 -8.72056703e-03 9.43942066e-02) (-1.69652002e-06 -3.95283397e-05 1.39561151e-03)) ((3.98458732e-04 1.86933816e-04 -3.04997026e-03) (1.00273291e-06 -3.62383505e-08 1.64312511e-05))
9               	((1.31891480e-02 -1.18613817e-02 9.20902533e-02) (-2.44757051e-06 -3.81309508e-05 1.47696059e-03)) ((4.02904683e-04 9.63603359e-05 -2.85198752e-03) (8.75338332e-07 -5.13768754e-08 1.60006224e-05))
10              	((1.14022086e-02 -1.28629293e-02 9.63367255e-02) (-2.69770764e-06 -3.49209737e-05 1.54309316e-03)) ((3.71767015e-04 4.00660903e-05 -3.10963090e-03) (7.40261780e-07 -3.75277614e-08 1.55785662e-05))
11              	((1.04386534e-02 -1.15131317e-02 1.03057895e-01) (-2.14458143e-06 -3.19163951e-05 1.59060086e-03)) ((3.11583888e-04 3.84809799e-05 -3.58339954e-03) (5.96353344e-07 6.02650343e-08 1.53577657e-05))
12              	((1.03991387e-02 -8.59396812e-03 1.09490854e-01) (-1.60925406e-06 -3.02858956e-05 1.61748499e-03)) ((2.37494900e-04 7.76269930e-05 -4.05800428e-03) (4.62145101e-07 1.77601219e-07 1.53651584e-05))
13              	((1.11067648e-02 -5.35168982e-03 1.14301456e-01) (-2.10179471e-06 -3.05488825e-05 1.62797406e-03)) ((1.70110367e-04 1.30500362e-04 -4.41025586e-03) (4.11268451e-07 3.27785502e-07 1.55182640e-05))
14              	((1.23687457e-02 -2.91443670e-03 1.17449974e-01) (-4.21627673e-06 -3.28744279e-05 1.62978605e-03)) ((1.22968209e-04 1.77286865e-04 -4.61207951e-03) (4.35204998e-07 4.61902829e-07 1.57083024e-05))
15              	((1.38225842e-02 -2.00617645e-03 1.19475600e-01) (-6.69711398e-06 -3.59897510e-05 1.62521507e-03)) ((1.01456634e-04 2.03669164e-04 -4.69264607e-03) (4.75646267e-07 5.78472342e-07 1.58164421e-05))
16              	((1.51377866e-02 -2.61648204e-03 1.21097078e-01) (-1.04466167e-05 -3.94589218e-05 1.61955424e-03)) ((1.02629105e-04 2.09788536e-04 -4.70713206e-03) (5.18328625e-07 6.68491479e-07 1.57917699e-05))
17              	((1.61242081e-02 -4.18646855e-03 1.22859318e-01) (-1.53085657e-05 -4.26178572e-05 1.61512752e-03)) ((1.18061038e-04 2.04443999e-04 -4.71125227e-03) (5.50337747e-07 7.50318032e-07 1.56412556e-05))
18              	((1.66962942e-02 -5.87596198e-03 1.25041898e-01) (-2.12124645e-05 -4.49261804e-05 1.61247428e-03)) ((1.37043314e-04 1.98982818e-04 -4.74276036e-03) (5.71702836e-07 8.37815116e-07 1.54100643e-05))
19              	((1.68679059e-02 -7.16444684e-03 1.27594656e-01) (-2.71980407e-05 -4.58487832e-05 1.61021183e-03)) ((1.53223128e-04 1.99130971e-04 -4.81461772e-03) (5.56722975e-07 9.11455696e-07 1.51440298e-05))
20              	((1.67453314e-02 -7.96701348e-03 1.30234809e-01) (-3.28606458e-05 -4.57222767e-05 1.60798711e-03)) ((1.65614565e-04 2.03507901e-04 -4.91823973e-03) (5.07301195e-07 9.76550731e-07 1.48713847e-05))
